state_name,X_STATE,IYEAR,n_obs,n_disabled,pct_disabled,n_lackAccess,pct_lackAccess,n_hlthNeed,pct_hlthNeed,n_unmetNeed,pct_unmetNeed,n_DisUnmetNeed,pct_DisUnmetNeed,Population,Poverty Rate,Unemployment rate,Personal income,State Minimum Wage,Marginally Food Insecure,Food Insecure,Very Low Food Secure,Food Stamp/SNAP Recipients,SSI recipients,Medicaid beneficiaries,WIC participation,SBP Total Participation,Fraction of the Year ACA Expansion
MD,24,2018,16884,973026.0855146796,0.22105999737984208,1153993.4387314687,0.2541685955997113,2472410.520601483,0.9767529989132574,570412.4106455895,0.23263269092672548,226040.5153281665,0.2775392550043337,6035802,8,3.9,378491500,10.1,17.13436,9.89496,2.91692,646483,120976,1218122,128542,265043,1
MD,24,2019,18175,1083562.136290571,0.2320637372235153,1233979.790432423,0.2520294567877878,2645501.3391704015,0.981505360431073,634975.4289582088,0.24255136439982777,255764.58290780196,0.282577434985456,6045680,7,3.6,390792500,11,16.84879,6.54654,2.71752,570444,121669,1229390,122569,262883,1
MD,24,2020,14191,911496.2480667379,0.20599932711349997,1137299.001369101,0.2435628920044232,2394464.20083991,0.9762329962685129,493469.81252026506,0.20781894144434052,182967.77333281114,0.24885458390109783,6177935,9.4,6.5,400750000,11,13.83985,9.452,1.74195,700979,120345,1300946,122523,179019,1
MD,24,2021,15608,1049499.7470035395,0.23533464052963637,935407.4267700139,0.20432067787920796,2631148.7851586724,0.9822279881538724,435783.32817746943,0.17461441303636738,180118.4715233187,0.21839649164212993,6179403,7.7,5.2,427803200,11.75,16.65173,11.27281,2.55228,823501,117167,1444632,119658,28810,1
MD,24,2022,15226,1024943.584409567,0.24924094550037199,914962.7860447059,0.2128432319585997,2577950.1729335943,0.9859851892032839,446882.8318970812,0.18145317242732534,207511.26407968457,0.2521214301673202,6192440,8.6,3,438306400,12.5,16.73736,10.72046,2.67504,772731,115215,1541215,118783,262151,1
MD,24,2023,18444,1222879.0188622966,0.24985517442324776,984323.0415669965,0.2005377640854185,3041099.8232407803,0.9835217209776638,562258.0710903188,0.19605879741247317,252871.5306108355,0.2575127811647816,6217062,8.9,2.2,469239600,13.25,20.03111,11.46739,4.51225,671132,113353,1609764,122099,225728,1
MD,24,2024,14558,1170472.022661219,0.2535696814272956,927185.8035158577,0.19909300204357314,2907330.5958783445,0.9814321505927025,534804.5861751158,0.1923363525923782,238729.29772720733,0.25284990847881933,6263220,7.2,3,496413900,15,22.59947,10.35592,5.92351,690938,114236,1469244,121185,252296,1
NA,24,2025,120,11795.821603638913,0.2869652382591374,20004.92926272444,0.41227137782733925,23889.795660755135,1,11173.979511125288,0.47501785074474134,6610.855075707884,0.6872609667594287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,25,2017,6907,1281385.4509276855,0.24386140809212037,1223370.390685165,0.22663283822719027,2978774.443402116,0.9855482208626564,638506.4835541607,0.21749851293830388,294197.41379922425,0.2647066149608164,6859789,10.6,3.7,469500700,11,16.24365,9.00428,2.54418,765714,186306,1811368,112763,204475,1
MA,25,2018,6663,1322001.294956316,0.24758429600702073,1256677.149672518,0.2299522654070765,2942530.9024929157,0.9831485391401217,637647.5644875544,0.21960691380832298,276149.28434052935,0.25566600849974525,6882635,8.7,3.4,494177300,11,13.36569,6.9634,2.71075,770566,183889,1807979,108593,210411,1
MA,25,2019,7728,1330341.8970124882,0.25009365329618666,1210003.8965683505,0.21944407650230136,2986861.7433221997,0.9838700292881446,628009.1912037294,0.21247290456326087,278958.83926318993,0.2531834310601151,6892503,7.5,2.9,511333700,12.75,13.36049,8.36457,2.70444,703516,182565,1455990,103315,214921,1
MA,25,2020,7186,1246280.346119499,0.23849012408511824,1130160.8469047863,0.20564929614826988,2916005.6882723374,0.9767266960582124,544610.5199748696,0.18933928875066014,217062.79907689907,0.2120695843093707,6994598,8.4,9.3,542032600,12.75,17.93663,10.17156,2.81959,821254,179208,1707937,105733,180248,1
MA,25,2021,7665,1344336.9610486769,0.24643147575667881,890642.3808726876,0.1625854001398108,3087251.1342272307,0.9835229396362974,451201.1614050551,0.15099414843103248,214000.33905649855,0.19322362275073174,7000474,7.6,5.3,588651000,13.5,15.68042,8.4652,2.8802,929029,172755,1895093,111299,185741,1
MA,25,2022,11023,1485486.8630918607,0.2750359436185006,818904.1394090686,0.151326451290504,3331262.6375879864,0.9888144955690576,458807.1681733513,0.143691884953516,216554.14597005522,0.18182989020011395,7022468,9.6,3.6,600009600,14.25,16.96946,8.65961,2.10855,1024442,168056,2091126,115589,255344,1
MA,25,2023,9511,1453246.8343134455,0.27278779208891907,845785.8782170115,0.15638629576237095,3274084.1701693097,0.9844521899313978,464017.59557325864,0.14875583771635645,220976.13876454651,0.188683178905466,7066568,9.1,3.5,635619800,15,18.65374,13.015,4.63757,1082711,164783,2282087,123522,268610,1
MA,25,2024,9503,1388329.7847196937,0.2637947545270232,944026.9653882027,0.17329107175123953,3246225.713748254,0.9828370420677812,518295.0866485798,0.1666867713431403,242458.7512604315,0.2161935727952692,7136171,8.9,4,667993000,15,22.55683,15.63775,5.04593,1113678,163339,1989455,123147,295055,1
NA,25,2025,32,4035.190560754981,0.19970079817620326,2810.398069678718,0.1340657353764847,13359.175813119928,1,2131.348089914118,0.15954188489838872,1193.910217367032,0.2958745564530792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MI,26,2017,9363,1886677.2180869577,0.3011863498130266,1727822.5820116445,0.26908292370454495,3900024.0056274356,0.9851364161126082,935435.6220091488,0.24198010488338353,444814.35094753874,0.26593598241725197,9973114,12.7,4.6,458247100,8.9,20.17796,11.95559,4.18768,1375434,274896,2108819,224106,402252,1
MI,26,2018,9868,2216578.4312674874,0.2988177565834456,2019629.748712765,0.2645319838958632,4711511.157726973,0.9849613544124992,1172724.419413154,0.25139351480459815,558510.4356315081,0.2851772689977055,9984072,10.5,4.1,477009600,9.25,20.39857,12.14034,4.08345,1281862,271856,2437622,213964,399205,1
MI,26,2019,10251,2251916.629128885,0.30677642625383383,2043116.3388267432,0.2713027417549719,4705905.7283372125,0.9898777713794289,1272396.3448555416,0.2735628966923744,644178.2506598036,0.32327974903724566,9986857,10.2,4.1,491631800,9.65,19.35786,12.67908,3.7711,1181972,270456,2385506,205364,403684,1
MI,26,2020,8490,2222212.9229545896,0.27308315362524477,1940636.0858031388,0.23218165706894725,4982281.447102757,0.988419983364959,1006523.6704393454,0.20365645618449754,426373.9494490749,0.22497147786407884,10072703,11.2,10,532019900,9.65,20.07401,12.67203,4.06917,1254475,265927,2534597,213881,281738,1
MI,26,2021,10140,2344225.029750487,0.2863261741069938,1646819.6481711809,0.19957665708877695,5342327.23297984,0.9849654789348834,934210.0039439054,0.18379743316704508,400129.79511912103,0.20550035913406972,10041351,11.7,5.7,573255700,9.65,19.5107,10.89806,4.02063,1278213,256734,2822332,207317,57962,1
MI,26,2022,9723,2146911.7023210283,0.30477287193798325,1431204.0423653515,0.19702445833147492,4727221.706916785,0.9882335500562907,839507.3511250733,0.18650172011002553,401996.37387415156,0.2244734456869465,10050877,12.1,4.2,583072100,9.87,23.06698,14.08906,6.34209,1349321,250912,2970365,200223,459772,1
MI,26,2023,10166,2360582.458989695,0.3087625680653642,1594209.3489335105,0.20909527547129117,5079741.261862018,0.9869590403992893,955775.8167951353,0.19938401586339735,488487.1976476758,0.24368547012260713,10083356,12.1,3.9,617163200,10.1,21.99083,15.73319,5.73484,1430174,248307,3127783,205875,420402,1
MI,26,2024,10953,2184399.424034598,0.3056495756218174,1559303.3869654366,0.21554685259199283,4971716.165227763,0.989881936462514,986983.8651457392,0.20935040749918657,425684.84612412413,0.2306980326066417,10140459,11.4,4.7,645846800,10.33,26.45888,16.01448,6.10476,1474427,248847,2396634,188956,507029,1
NA,26,2025,924,200973.04159917144,0.2902222525637821,203102.40235295697,0.2690736256071591,493436.7889301506,0.9750929904532937,126302.65673852424,0.26339912876651783,68712.25997486281,0.40097551058453884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
