X,state_abbr,X_STATE,IYEAR,n_obs,n_disabled,pct_disabled,n_lackAccess,pct_lackAccess,n_hlthNeed,pct_hlthNeed,n_unmetNeed,pct_unmetNeed,n_DisUnmetNeed,pct_DisUnmetNeed,Population,Poverty_Rate,Unemployment_rate,Personal_income,State_Minimum_Wage,Marginally_Food_Insecure,Food_Insecure,Very_Low_Food_Secure,Food_Stamp_Recipients,SSI_recipients,Medicaid_beneficiaries,WIC_participation,SBP_Total_Participation,Medicaid_expansion,state_name
268,NC,37,2020,6006,2305688.28182486,0.278265883061985,2862470.68657873,0.331894665179295,4792885.36166847,0.981972167077433,1409616.55290058,0.295805369187967,629640.296474492,0.335163443033717,10449652,13.8,7.2,541462500,7.25,21.06576,13.1007,2.34396,1317566,227589,2236255,232350,322145,0,north carolina
269,NC,37,2021,4950,2458764.46588985,0.304025716029574,2168337.95346301,0.268540150096433,4799742.03617344,0.980815223416809,1158358.61587691,0.248773143578985,560396.456904716,0.278359192061596,10564320,11.8,4.9,604630700,7.25,16.26172,10.33001,4.11317,1541661,221312,2526722,254120,53960,0,north carolina
270,NC,37,2022,4400,2649347.98480825,0.337036162106306,2253530.12496309,0.283441372406917,4786518.73178296,0.984615149155537,1253884.23493045,0.268559084506159,683764.323712527,0.314099973317349,10710793,14.2,3.7,632926500,7.25,18.50167,11.35307,3.87478,1599930,216756,2782756,258767,483975,0,north carolina
271,NC,37,2023,4058,2587819.77666182,0.315646263678089,2193014.49107833,0.261801679476911,5088352.89185444,0.988313665191836,1270125.2013833,0.252924971046813,621000.093001295,0.281550323089287,10881189,13.6,3.5,677170400,7.25,23.08706,12.86953,3.61433,1594275,214549,2962451,261150,434766,0.082191781,north carolina
272,NC,37,2024,3887,2372106.62289152,0.313977323193321,2041658.15813927,0.267147105904031,4804684.83532232,0.989845509752746,1133590.83548037,0.241183661222815,557510.067078071,0.272708005676767,11046024,14.2,3.6,724994600,7.25,22.00058,14.23837,7.73699,1415607,217098,3048924,238100,471599,1,north carolina
273,ND,38,2017,6987,117918.981555834,0.208556483101809,212647.472822995,0.364753517010812,311073.067657517,0.976836324092163,93143.9025439587,0.302133291779505,33955.5216265191,0.338315680207197,754942,11.3,2.7,39812900,7.25,15.96767,10.88186,4.22234,53748,8452,92595,12729,26520,1,north dakota
274,ND,38,2018,5205,124328.180369405,0.238419942778666,185380.671800963,0.348890783097535,287326.127935486,0.983201218821138,86794.6895744268,0.30391458174893,34789.1157478949,0.329384436070749,758080,9.7,2.6,42291900,7.25,16.28501,8.86632,3.10597,52621,8411,93042,12313,28014,1,north dakota
275,ND,38,2019,5403,136725.976161134,0.241099134259659,221044.671053017,0.382989337478243,303678.408131129,0.976954201148268,98687.1424545161,0.326850193516363,39993.0918711465,0.344538920063744,762062,8.1,2.4,43614400,7.25,16.37169,9.98095,1.38194,45312,8295,88829,11405,29270,1,north dakota
276,ND,38,2020,4358,133979.105634367,0.242340085884071,223638.469929172,0.394721107173553,291657.988748067,0.984818062640843,95930.4786702174,0.331834684380937,40431.3334042735,0.372670177528528,779563,10.7,5,47122500,7.25,16.98826,10.1349,4.06925,46092,8305,94761,10752,20804,1,north dakota
277,ND,38,2021,6013,160044.641598066,0.2781744117678,146597.890724718,0.252343986907584,326559.047357878,0.986882159318668,64829.2910933647,0.203091675236443,31448.5490745344,0.240888860049149,777966,8.5,3.1,51468400,7.25,12.6397,8.44013,1.40588,50377,8017,116612,10363,4610,1,north dakota
278,ND,38,2022,4313,153501.791144094,0.264249012894285,147606.780859339,0.252492097900583,343667.840583556,0.985430465045606,73279.4448693771,0.220102661949451,30935.8096191647,0.245728929527873,781057,9.7,2.1,55463300,7.25,14.88974,7.12432,2.23549,47417,7872,125350,10218,42396,1,north dakota
279,ND,38,2023,6034,168600.547848875,0.272073916203085,152237.308291894,0.242707009790227,368733.606104052,0.987743241709049,77002.4804587664,0.218736518218603,35478.8096883234,0.259367106033275,789047,9.9,2,56452500,7.25,19.54811,12.1015,6.59011,45153,7864,133630,10423,33387,1,north dakota
280,ND,38,2024,5969,151150.973566085,0.260004139556029,140716.726538857,0.237260504927147,354131.805377403,0.983455017995861,72514.4527336226,0.213167667545739,35902.167978635,0.28493578176004,796568,8.4,2.4,57153400,7.25,15.42807,9.51947,2.7113,48694,8074,105070,10338,33988,1,north dakota
281,OH,39,2017,12275,2494833.41692962,0.285710598537854,2639816.37505996,0.293623178822621,5320515.7614033,0.986755758334982,1426275.40286995,0.269080286468801,630103.327824487,0.285417125098841,11659650,12.7,5,546006000,8.15,22.20732,13.41121,5.59506,1501795,310312,3080775,221746,449465,1,ohio
282,OH,39,2018,12746,2581973.31141764,0.292208011535436,2647042.52221557,0.293907675242912,5332249.98561981,0.985190261991229,1386610.36849582,0.261582127468674,655161.607157439,0.291356197924457,11676341,11.9,4.5,569184000,8.3,23.66073,15.15133,5.56809,1421366,308224,2934726,208955,450290,1,ohio
283,OH,39,2019,13542,2628604.15082094,0.299366332062904,2822897.57624517,0.31097925294765,5492514.88112057,0.987976470234963,1537610.18724474,0.2818341278043,714241.284474166,0.310909597645995,11689100,12.4,4.1,586784000,8.7,16.524,8.98022,3.62369,1273257,307650,2763388,192574,450137,1,ohio
284,OH,39,2020,14670,2336232.77727804,0.270700205215379,2694915.01946244,0.297624442735919,5352749.09046495,0.984147818665964,1407345.62725938,0.265527525887159,590675.791070332,0.290628344303822,11798905,12.7,8.2,623575000,8.7,18.45193,11.9693,5.10657,1396860,306118,2906252,182176,417091,1,ohio
